Position (m), Height (cm)
0.0,74.0
1.0,74.0
2.0,74.0
3.0,70.0
4.0,83.0
5.0,78.0
6.0,72.0
7.0,75.0
8.0,75.0
9.0,82.0
10.0,81.0
11.0,78.0
12.0,76.0
13.0,73.0
14.0,76.0
15.0,74.0
16.0,70.0
17.0,70.0
18.0,66.0
19.0,66.0
20.0,71.0
21.0,74.0
22.0,74.0
23.0,70.0
24.0,73.0
25.0,71.0
26.0,75.0
27.0,74.0
28.0,67.0
29.0,65.0
30.0,71.0
