Position (m),Twtt (ns),Snow height (m)
0.0,0.3059717601940759,0.6607777983871279
0.01,0.3059717601940759,0.6607777983871279
0.02,0.3059717601940759,0.6607777983871279
0.03,0.3059717601940759,0.6607777983871279
0.04,0.3059717601940759,0.6607777983871279
0.05,0.3059717601940759,0.6607777983871279
0.06,0.3059717601940759,0.6607777983871279
0.07,0.3059717601940759,0.6607777983871279
0.08,0.3059717601940759,0.6607777983871279
0.09,0.3059717601940759,0.6607777983871279
0.1,0.3059717601940759,0.6607777983871279
0.11,0.3059717601940759,0.6607777983871279
0.12,0.3059717601940759,0.6607777983871279
0.13,0.3059717601940759,0.6607777983871279
0.14,0.3059717601940759,0.6607777983871279
0.15,0.3059717601940759,0.6607777983871279
0.16,0.3059717601940759,0.6607777983871279
0.17,0.3059717601940759,0.6607777983871279
0.18,0.3059717601940759,0.6607777983871279
0.19,0.3059717601940759,0.6607777983871279
0.2,0.3059717601940759,0.6607777983871279
0.21,0.3059717601940759,0.6607777983871279
0.22,0.3059717601940759,0.6607777983871279
0.23,0.3059717601940759,0.6607777983871279
0.24,0.3059717601940759,0.6607777983871279
0.25,0.3059717601940759,0.6607777983871279
0.26,0.3059717601940759,0.6607777983871279
0.27,0.3059717601940759,0.6607777983871279
0.28,0.3059717601940759,0.6607777983871279
0.29,0.3059717601940759,0.6607777983871279
0.3,0.3059717601940759,0.6607777983871279
0.31,0.3059717601940759,0.6607777983871279
0.32,0.3059717601940759,0.6607777983871279
0.33,0.3059717601940759,0.6607777983871279
0.34,0.3059717601940759,0.6607777983871279
0.35000000000000003,0.3059717601940759,0.6607777983871279
0.36,0.3059717601940759,0.6607777983871279
0.37,0.3059717601940759,0.6607777983871279
0.38,0.3059717601940759,0.6607777983871279
0.39,0.3059717601940759,0.6607777983871279
0.4,0.3059717601940759,0.6607777983871279
0.41000000000000003,0.3059717601940759,0.6607777983871279
0.42,0.3059717601940759,0.6607777983871279
0.43,0.3059717601940759,0.6607777983871279
0.44,0.3059717601940759,0.6607777983871279
0.45,0.3059717601940759,0.6607777983871279
0.46,0.3059717601940759,0.6607777983871279
0.47000000000000003,0.3059717601940759,0.6607777983871279
0.48,0.3059717601940759,0.6607777983871279
0.49,0.3059717601940759,0.6607777983871279
0.5,0.3056501401821641,0.6600832265637233
0.51,0.30538212350557087,0.659504416710886
0.52,0.3059717601940759,0.660777798387128
0.53,0.30548933017620816,0.6597359406520209
0.54,0.3050069001583403,0.6586940829169137
0.55,0.3045244701404725,0.6576522251818065
0.56,0.30409564345792334,0.6567261294172668
0.5700000000000001,0.3036668167753742,0.6558000336527272
0.58,0.3042028501285607,0.6569576533584018
0.59,0.3047388834817471,0.6581152730640765
0.6,0.3040956434579234,0.6567261294172669
0.61,0.30345240343409974,0.6553369857704575
0.62,0.3028091634102761,0.6539478421236482
0.63,0.30216592338645243,0.6525586984768389
0.64,0.30157628669794745,0.651285316800597
0.65,0.30093304667412374,0.6498961731537876
0.66,0.30028980665030003,0.648507029506978
0.67,0.299700169961795,0.6472336478307361
0.68,0.2990569299379713,0.6458445041839266
0.6900000000000001,0.2988961199320153,0.6454972182722242
